Example0,67,20
Example1,57,20
Example2,21,20
Example3,93,20
Example4,2,20
Example5,40,20
Example6,59,20
Example7,20,20
Example8,64,20
Example9,83,20
Example10,11,20
Example11,87,20
Example12,2,20
Example13,34,20
Example14,95,20
Example15,14,20
Example16,7,20
Example17,75,20
Example18,8,20
Example19,20,20
Example20,45,20
Example21,63,20
Example22,48,20
Example23,13,20
Example24,84,20
Example25,7,20
Example26,75,20
Example27,32,20
Example28,15,20
Example29,37,20
Example30,36,20
Example31,28,20
Example32,78,20
Example33,50,20
Example34,45,20
Example35,0,20
Example36,93,20
Example37,75,20
Example38,79,20
Example39,64,20
Example40,69,20
Example41,7,20
Example42,62,20
Example43,49,20
Example44,76,20
Example45,72,20
Example46,29,20
Example47,34,20
Example48,41,20
Example49,23,20
Example50,56,20
Example51,94,20
Example52,21,20
Example53,44,20
Example54,2,20
Example55,44,20
Example56,45,20
Example57,10,20
Example58,89,20
Example59,55,20
Example60,25,20
Example61,78,20
Example62,33,20
Example63,30,20
Example64,44,20
Example65,48,20
Example66,46,20
Example67,0,20
Example68,73,20
Example69,6,20
Example70,51,20
Example71,75,20
Example72,4,20
Example73,56,20
Example74,3,20
Example75,34,20
Example76,44,20
Example77,21,20
Example78,12,20
Example79,59,20
Example80,62,20
Example81,31,20
Example82,91,20
Example83,7,20
Example84,1,20
Example85,17,20
Example86,96,20
Example87,71,20
Example88,1,20
Example89,99,20
Example90,46,20
Example91,37,20
Example92,71,20
Example93,51,20
Example94,63,20
Example95,51,20
Example96,69,20
Example97,19,20
Example98,53,20
Example99,89,20
Example100,72,20
Example101,38,20
Example102,78,20
Example103,39,20
Example104,52,20
Example105,23,20
Example106,56,20
Example107,72,20
Example108,65,20
Example109,60,20
Example110,47,20
Example111,56,20
Example112,24,20
Example113,95,20
Example114,95,20
Example115,23,20
Example116,83,20
Example117,37,20
Example118,84,20
Example119,52,20
Example120,26,20
Example121,43,20
Example122,78,20
Example123,89,20
Example124,60,20
Example125,26,20
Example126,39,20
Example127,75,20
Example128,11,20
Example129,7,20
Example130,21,20
Example131,66,20
Example132,74,20
Example133,33,20
Example134,83,20
Example135,32,20
Example136,4,20
Example137,73,20
Example138,24,20
Example139,10,20
Example140,47,20
Example141,26,20
Example142,78,20
Example143,55,20
Example144,51,20
Example145,24,20
Example146,54,20
Example147,21,20
Example148,25,20
Example149,79,20
Example150,40,20
Example151,24,20
Example152,29,20
Example153,68,20
Example154,0,20
Example155,37,20
Example156,87,20
Example157,86,20
Example158,81,20
Example159,14,20
Example160,29,20
Example161,91,20
Example162,7,20
Example163,11,20
Example164,16,20
Example165,97,20
Example166,6,20
Example167,93,20
Example168,94,20
Example169,40,20
Example170,31,20
Example171,11,20
Example172,23,20
Example173,67,20
Example174,8,20
Example175,31,20
Example176,59,20
Example177,0,20
Example178,6,20
Example179,87,20
Example180,4,20
Example181,50,20
Example182,8,20
Example183,7,20
Example184,33,20
Example185,39,20
Example186,74,20
Example187,17,20
Example188,55,20
Example189,98,20
Example190,22,20
Example191,4,20
Example192,86,20
Example193,73,20
Example194,56,20
Example195,7,20
Example196,76,20
Example197,39,20
Example198,33,20
Example199,28,20
Example200,69,20
Example201,50,20
Example202,1,20
Example203,57,20
Example204,89,20
Example205,75,20
Example206,32,20
Example207,81,20
Example208,62,20
Example209,94,20
Example210,74,20
Example211,61,20
Example212,33,20
Example213,29,20
Example214,90,20
Example215,44,20
Example216,94,20
Example217,12,20
Example218,87,20
Example219,45,20
Example220,24,20
Example221,68,20
Example222,43,20
Example223,3,20
Example224,10,20
Example225,91,20
Example226,54,20
Example227,70,20
Example228,32,20
Example229,78,20
Example230,75,20
Example231,92,20
Example232,68,20
Example233,97,20
Example234,96,20
Example235,79,20
Example236,19,20
Example237,96,20
Example238,94,20
Example239,32,20
Example240,18,20
Example241,6,20
Example242,65,20
Example243,83,20
Example244,23,20
Example245,99,20
Example246,10,20
Example247,53,20
Example248,69,20
Example249,28,20
Example250,2,20
Example251,78,20
Example252,8,20
Example253,87,20
Example254,10,20
Example255,22,20
Example256,65,20
Example257,29,20
Example258,26,20
Example259,8,20
Example260,56,20
Example261,8,20
Example262,11,20
Example263,83,20
Example264,19,20
Example265,6,20
Example266,18,20
Example267,87,20
Example268,48,20
Example269,47,20
Example270,25,20
Example271,82,20
Example272,71,20
Example273,82,20
Example274,78,20
Example275,11,20
Example276,51,20
Example277,33,20
Example278,80,20
Example279,95,20
Example280,58,20
Example281,75,20
Example282,49,20
Example283,17,20
Example284,18,20
Example285,13,20
Example286,43,20
Example287,39,20
Example288,94,20
Example289,3,20
Example290,25,20
Example291,22,20
Example292,83,20
Example293,95,20
Example294,39,20
Example295,77,20
Example296,11,20
Example297,28,20
Example298,26,20
Example299,11,20
Example300,38,20
Example301,93,20
Example302,47,20
Example303,35,20
Example304,30,20
Example305,86,20
Example306,32,20
Example307,18,20
Example308,85,20
Example309,42,20
Example310,17,20
Example311,38,20
Example312,89,20
Example313,70,20
Example314,7,20
Example315,95,20
Example316,93,20
Example317,96,20
Example318,33,20
Example319,57,20
Example320,65,20
Example321,91,20
